,n_rounds,utt_Listener-Win,utt_none,utt_some,numPins,numColors,speakerStrategy,listenerStrategy,utt_Speaker-Win
0,3,1.0,1.0,1.0,4,2,greedyUncoop,stochasticUncoop,0.0
1,7,1.0,0.0,6.0,4,2,greedyUncoop,stochasticUncoop,0.0
2,3,1.0,1.0,1.0,4,2,greedyUncoop,stochasticUncoop,0.0
3,1,1.0,0.0,0.0,4,2,greedyUncoop,stochasticUncoop,0.0
4,7,1.0,0.0,6.0,4,2,greedyUncoop,stochasticUncoop,0.0
5,9,0.0,1.0,7.0,4,2,greedyUncoop,stochasticUncoop,1.0
6,4,1.0,0.0,3.0,4,2,greedyUncoop,stochasticUncoop,0.0
7,8,1.0,0.0,7.0,4,2,greedyUncoop,stochasticUncoop,0.0
8,5,1.0,0.0,4.0,4,2,greedyUncoop,stochasticUncoop,0.0
9,4,1.0,1.0,2.0,4,2,greedyUncoop,stochasticUncoop,0.0
10,7,1.0,1.0,5.0,4,2,greedyUncoop,stochasticUncoop,0.0
11,7,1.0,0.0,6.0,4,2,greedyUncoop,stochasticUncoop,0.0
12,3,1.0,1.0,1.0,4,2,greedyUncoop,stochasticUncoop,0.0
13,5,1.0,0.0,4.0,4,2,greedyUncoop,stochasticUncoop,0.0
14,8,1.0,1.0,6.0,4,2,greedyUncoop,stochasticUncoop,0.0
15,7,1.0,1.0,5.0,4,2,greedyUncoop,stochasticUncoop,0.0
