,n_rounds,utt_some,utt_Listener-Win,utt_many,numPins,numColors,speakerStrategy,listenerStrategy,utt_none
0,5,3.0,1,1.0,4,2,stochasticCoop,stochasticUncoop,0.0
1,3,1.0,1,0.0,4,2,stochasticCoop,stochasticUncoop,1.0
2,2,0.0,1,0.0,4,2,stochasticCoop,stochasticUncoop,1.0
3,5,3.0,1,1.0,4,2,stochasticCoop,stochasticUncoop,0.0
4,3,1.0,1,1.0,4,2,stochasticCoop,stochasticUncoop,0.0
5,4,2.0,1,1.0,4,2,stochasticCoop,stochasticUncoop,0.0
6,3,2.0,1,0.0,4,2,stochasticCoop,stochasticUncoop,0.0
7,2,0.0,1,0.0,4,2,stochasticCoop,stochasticUncoop,1.0
8,3,1.0,1,0.0,4,2,stochasticCoop,stochasticUncoop,1.0
9,6,4.0,1,1.0,4,2,stochasticCoop,stochasticUncoop,0.0
10,4,2.0,1,1.0,4,2,stochasticCoop,stochasticUncoop,0.0
11,1,0.0,1,0.0,4,2,stochasticCoop,stochasticUncoop,0.0
12,6,4.0,1,1.0,4,2,stochasticCoop,stochasticUncoop,0.0
13,6,4.0,1,1.0,4,2,stochasticCoop,stochasticUncoop,0.0
14,1,0.0,1,0.0,4,2,stochasticCoop,stochasticUncoop,0.0
15,2,0.0,1,0.0,4,2,stochasticCoop,stochasticUncoop,1.0
