,n_rounds,utt_some,utt_Listener-Win,utt_none,numPins,numColors,speakerStrategy,listenerStrategy,utt_many
0,4,2.0,1,1.0,4,2,stochasticUncoop,stochasticUncoop,0.0
1,5,3.0,1,1.0,4,2,stochasticUncoop,stochasticUncoop,0.0
2,8,6.0,1,1.0,4,2,stochasticUncoop,stochasticUncoop,0.0
3,3,1.0,1,0.0,4,2,stochasticUncoop,stochasticUncoop,1.0
4,5,4.0,1,0.0,4,2,stochasticUncoop,stochasticUncoop,0.0
5,3,1.0,1,1.0,4,2,stochasticUncoop,stochasticUncoop,0.0
6,2,0.0,1,1.0,4,2,stochasticUncoop,stochasticUncoop,0.0
7,7,6.0,1,0.0,4,2,stochasticUncoop,stochasticUncoop,0.0
8,4,2.0,1,1.0,4,2,stochasticUncoop,stochasticUncoop,0.0
9,7,5.0,1,1.0,4,2,stochasticUncoop,stochasticUncoop,0.0
10,8,7.0,1,0.0,4,2,stochasticUncoop,stochasticUncoop,0.0
11,4,2.0,1,0.0,4,2,stochasticUncoop,stochasticUncoop,1.0
12,6,4.0,1,0.0,4,2,stochasticUncoop,stochasticUncoop,1.0
13,6,5.0,1,0.0,4,2,stochasticUncoop,stochasticUncoop,0.0
14,6,4.0,1,1.0,4,2,stochasticUncoop,stochasticUncoop,0.0
15,8,6.0,1,1.0,4,2,stochasticUncoop,stochasticUncoop,0.0
