,n_rounds,utt_Listener-Win,utt_many,numPins,numColors,speakerStrategy,listenerStrategy,utt_some,utt_none
0,2,1,1.0,4,2,greedyCoop,stochasticUncoop,0.0,0.0
1,3,1,1.0,4,2,greedyCoop,stochasticUncoop,1.0,0.0
2,7,1,1.0,4,2,greedyCoop,stochasticUncoop,5.0,0.0
3,4,1,1.0,4,2,greedyCoop,stochasticUncoop,2.0,0.0
4,5,1,1.0,4,2,greedyCoop,stochasticUncoop,3.0,0.0
5,2,1,1.0,4,2,greedyCoop,stochasticUncoop,0.0,0.0
6,2,1,0.0,4,2,greedyCoop,stochasticUncoop,1.0,0.0
7,7,1,1.0,4,2,greedyCoop,stochasticUncoop,5.0,0.0
8,5,1,0.0,4,2,greedyCoop,stochasticUncoop,3.0,1.0
9,6,1,1.0,4,2,greedyCoop,stochasticUncoop,4.0,0.0
10,2,1,0.0,4,2,greedyCoop,stochasticUncoop,1.0,0.0
11,6,1,1.0,4,2,greedyCoop,stochasticUncoop,4.0,0.0
12,4,1,0.0,4,2,greedyCoop,stochasticUncoop,3.0,0.0
13,4,1,0.0,4,2,greedyCoop,stochasticUncoop,2.0,1.0
14,3,1,1.0,4,2,greedyCoop,stochasticUncoop,1.0,0.0
15,5,1,1.0,4,2,greedyCoop,stochasticUncoop,3.0,0.0
