,n_rounds,utt_none,utt_finished.,numPins,numColors,speakerStrategy,listenerStrategy,utt_some,utt_many
0,2,1.0,1,4,2,greedyMax,greedyMax,0.0,0.0
1,5,0.0,1,4,2,greedyMax,greedyMax,3.0,1.0
2,4,0.0,1,4,2,greedyMax,greedyMax,2.0,1.0
3,3,1.0,1,4,2,greedyMax,greedyMax,1.0,0.0
4,4,0.0,1,4,2,greedyMax,greedyMax,2.0,1.0
5,4,1.0,1,4,2,greedyMax,greedyMax,2.0,0.0
6,5,1.0,1,4,2,greedyMax,greedyMax,3.0,0.0
7,5,0.0,1,4,2,greedyMax,greedyMax,3.0,1.0
8,3,0.0,1,4,2,greedyMax,greedyMax,1.0,1.0
9,4,0.0,1,4,2,greedyMax,greedyMax,3.0,0.0
10,3,0.0,1,4,2,greedyMax,greedyMax,2.0,0.0
11,4,0.0,1,4,2,greedyMax,greedyMax,2.0,1.0
12,2,0.0,1,4,2,greedyMax,greedyMax,1.0,0.0
13,3,0.0,1,4,2,greedyMax,greedyMax,1.0,1.0
14,2,0.0,1,4,2,greedyMax,greedyMax,0.0,1.0
15,1,0.0,1,4,2,greedyMax,greedyMax,0.0,0.0
