,n_rounds,utt_some,utt_finished.,numPins,numColors,speakerStrategy,listenerStrategy,utt_many
0,4,3.0,1,4,2,greedyMax,stochastic,0.0
1,5,3.0,1,4,2,greedyMax,stochastic,1.0
2,1,0.0,1,4,2,greedyMax,stochastic,0.0
3,4,2.0,1,4,2,greedyMax,stochastic,1.0
4,3,1.0,1,4,2,greedyMax,stochastic,1.0
5,4,3.0,1,4,2,greedyMax,stochastic,0.0
6,2,1.0,1,4,2,greedyMax,stochastic,0.0
7,3,1.0,1,4,2,greedyMax,stochastic,1.0
8,2,1.0,1,4,2,greedyMax,stochastic,0.0
9,3,1.0,1,4,2,greedyMax,stochastic,1.0
10,3,1.0,1,4,2,greedyMax,stochastic,1.0
11,5,3.0,1,4,2,greedyMax,stochastic,1.0
12,4,2.0,1,4,2,greedyMax,stochastic,1.0
13,2,0.0,1,4,2,greedyMax,stochastic,1.0
14,3,1.0,1,4,2,greedyMax,stochastic,1.0
15,3,2.0,1,4,2,greedyMax,stochastic,0.0
