,n_rounds,utt_some,utt_Listener-Win,numPins,numColors,speakerStrategy,listenerStrategy,utt_none,utt_Speaker-Win
0,4,3.0,1.0,4,2,stochasticUncoop,stochasticUncoop,0.0,0.0
1,7,5.0,1.0,4,2,stochasticUncoop,stochasticUncoop,1.0,0.0
2,5,4.0,1.0,4,2,stochasticUncoop,stochasticUncoop,0.0,0.0
3,2,1.0,1.0,4,2,stochasticUncoop,stochasticUncoop,0.0,0.0
4,6,5.0,1.0,4,2,stochasticUncoop,stochasticUncoop,0.0,0.0
5,2,1.0,1.0,4,2,stochasticUncoop,stochasticUncoop,0.0,0.0
6,2,1.0,1.0,4,2,stochasticUncoop,stochasticUncoop,0.0,0.0
7,3,1.0,1.0,4,2,stochasticUncoop,stochasticUncoop,1.0,0.0
8,1,0.0,1.0,4,2,stochasticUncoop,stochasticUncoop,0.0,0.0
9,1,0.0,1.0,4,2,stochasticUncoop,stochasticUncoop,0.0,0.0
10,8,7.0,1.0,4,2,stochasticUncoop,stochasticUncoop,0.0,0.0
11,1,0.0,1.0,4,2,stochasticUncoop,stochasticUncoop,0.0,0.0
12,9,7.0,0.0,4,2,stochasticUncoop,stochasticUncoop,1.0,1.0
13,7,6.0,1.0,4,2,stochasticUncoop,stochasticUncoop,0.0,0.0
14,2,0.0,1.0,4,2,stochasticUncoop,stochasticUncoop,1.0,0.0
15,3,2.0,1.0,4,2,stochasticUncoop,stochasticUncoop,0.0,0.0
