,mean_rounds,mean_utt_some,mean_utt_many,mean_utt_finished,mean_utt_none
0,3.9375,2.3125,0.5,1.0,0.125
1,4.125,2.5,0.375,1.0,0.25
2,4.25,2.3125,0.5625,1.0,0.375
3,3.75,2.0625,0.625,1.0,0.0625
4,4.6875,3.0,0.3125,1.0,0.375
5,4.5,2.8125,0.4375,1.0,0.25
6,4.1875,2.375,0.4375,1.0,0.375
7,4.3125,2.6875,0.375,1.0,0.25
8,4.25,2.875,,1.0,0.375
9,4.8125,3.375,,1.0,0.4375
10,5.0,3.5,,1.0,0.5
11,5.0,3.5,,1.0,0.5
12,3.0625,1.4375,0.5625,1.0,0.0625
13,3.0625,1.3125,0.6875,1.0,0.0625
14,3.9375,2.0,0.6875,1.0,0.25
15,3.5625,1.875,0.625,1.0,0.0625
